Sentiment,Review
2,"Really good tacos.
Must try bulgogi beef tat I, if you can handle a little bit spicy.
Pork taco is also very good.
Maybe want to try fish ones too.
All tacos come with a few chips. But there have many different salsa you can try.

Overall the flavour is strong and tasty.
A little bit pricy, I saw somewhere the menu showed 3.5 each, but is at least 4.5 each.

A little bit long waiting time, and you need to find your own seats. But it's good environment and really food, definitely worth waiting."
2,"I've been coming to Tacos El Asador for almost a decade. It's my go to lunch place, inexpensive and so tasty. Whenever I go to higher end taco joints I usually leave disappointed because they're not as good as TEA's and more expensive! The TEA staff are friendly and kind. I'm glad they opened up the new location (which is hardly new at this point) and that more people can enjoy eating in.

Tip: the tostadas are their hidden secret. Happy eating!"
2,"I actually really like La Carnita since it's decent tacos and convenient - on John and King. Lunch hour is usually slammed since they have a pretty good lunch deal but you should also come on Tuesdays for their taco promo.

I really like their In Cos We Trust and I ALWAYS get their Mexican street corn because it is BOMB. Everything else is pretty decent here but don't forget the damn corn lol"
0,"Two words can summarize my thoughts on the food here: overpriced and bland. I was super stoked to try Como En Casa because (1) I LOVE Mexican food and (2) fellow Yelpers have given this place such glowing reviews. We placed a takeout order on a Friday night. I ordered a small chicken burrito and my husband ordered a large verde burrito with beef. When I called and placed the order on the phone, the person asked me ""if guacamole was okay"". I said yes. To my chagrin, the guacamole was an extra charge, and we ended up paying nearly $30 for two burritos. I recognize that it's partly my fault for not checking if guacamole was extra, but I thought the way that I was asked suggested it was included, and they were asking if I wanted it on my burrito. Just seemed kind of slimy, if you ask me. 

All of this (including the high-ish price tag) would have been fine if I enjoyed my burrito. Negative. The meat was incredibly dry and bland. I barely had any chicken in my burrito, and if I did manage to snag some meat, it tasted like chewy old chicken. The burrito was mostly rice with, like, one piece of lettuce. I barely tasted a tomato or anything to break up the rice. I didn't notice any beans or sour cream. Honestly, this was a terrible burrito. I think I'm pretty easy to impress with Mexican food, but this was just horrible. My husband didn't like his either. I won't be wasting my precious Friday-night cheat meal on this place."
1,"The only reason I visited was because I had a gift card due to poor service from my previous visit. I'd say they redeemed themselves in terms of service for this visit. Our server was extremely friendly, helpful, and attentive. We were also seated in an area downstairs from the main dining area which made it feel more intimate and allowed the sever to check up on us more often. I came for Valentine's Day dinner and was still able to get a table for a group of 6 a week in advance. 

I ordered the gnocchi and it was alright. The pasta itself was cooked perfectly but the sauce was kind of basic. I've had better gnocchi elsewhere but for the price point here, I was expecting a bit more. I think some pasta may be more worth it than others on their menu. The homemade gelato was the highlight of my meal - super creamy and soft, great flavour, good portion. I had the hazelnut and pistachio and it was some of the best gelato I've ever had. 

Overall, I think you could find better or just as good food elsewhere, at the same price point. But worth a try if your an Italian food lover, even if just for the gelato."
1,"The food and cocktails were exceptional. Truly. We tried the ahi tuna, beets with labneh, black truffle rice, brussels sprouts, cauliflower, marcona almonds and olives. All delicious and beautiful.  

Unfortunately, our server was a bit snooty. She didn't seem to approve of our ordering style, which was surprising considering the menu seemed to emphasize shareables. We preferred to try many small plates as opposed to a main. Nonetheless, she kept pushing for more; insisting the sides and rice were meant to be paired with a main protein."
2,"I LOVE THIS PLACEEEE. The tacos are amazing. My favourite is the the haddock fish taco (Pesacado). I just wish the tacos were bigger for $3.75. But I'm for sure coming back. I went in 2 days in a row. And I will definitely go back again next week. I love the lime/lemon soda and apple soda. 

The atmosphere is great. Good amount of seating space. Unfortunately, paid parking at downtown Toronto (intersection: Bathurst and Dundas). 

The staffs are nice and welcoming. Pretty fast and efficient service."
2,"I expected to experience a lot of exceptional food while in Toronto for a few days, but being from Southern California I most certainly did not expect to have one of the best contemporary tacos of my life. That's exactly what happened, and everything I thought I knew about Seafood tacos has been shaken. 

Star 1: How were the service and atmosphere?

Seven Lives is a somewhat cramped little shop that's cash only and is prone to both overheating and overcrowding in the Summer. Typically, that's a recipe for disaster as far as service and atmosphere are concerned, but the chaos builds on the hype a bit to be honest and it's all good in my mind given Seven Lives actually delivers on their widespread and now long-standing hype. Hunker down, have your cash ready, and you can expect your tacos in between ten and fifteen minutes after ordering. Until then just sit back and watch them work their magic. Star. 

Star 2: How were the portions relative to the cost?

$6.00 per taco is expensive, plain and simple even with a generous rate of exchange to the USD these days. Even so, the tacos at Seven Lives are at least two to even three times larger than your standard street taco and are jam packed with all sorts of different fillings, which makes the price point worth it. Star. 

Stars 3 and 4: How was the food?

For the purposes of emphasis, I'm going to set aside what was an exceptional Spicy Chicken taco in its own right just to focus in on the real prize here, which is and was the Gobernador taco. 

Smoked Marlin, Shrimp, Cheese, spices, house made fiery habanero sauce. This was so unexpected, so exceptional, so life-changing that I didn't even know what to do with myself. This was, I think it's fair to say, the very best seafood taco I've ever had in my entire life, and that's after having visited at least fifty or so seafood taco spots across the United States. Amazing. Two Stars. 

Star 5: Would you be excited to go back?

High Praise for Seven Lives. I read in an interview that at one point the chef had deliberated between opening a shop in Toronto versus Southern California - my vote goes to both. Star."
2,This is one family owned restaurant I love to go. Food are very good. Place is tiny but always have a seat!
1,"A very popular Italian restaurant, but didn't quite live up to the hype.

We came on a hot summer day and it was very crowded. We ended up getting a seat upstairs outside on the balcony, but it was very crowded--both in terms of people and seating space.
The seats were pretty minuscule and packed together. There was barely enough space for us to squeeze between the tables to sit down on the outer seats--despite being on the thinner side myself. My other friends, who chose to sit on the inner side, would definitely not be able to squeeze into the outer seats because they are tall men who also hit the gym--their extra pound of muscles already cut them from sitting here, so I can only imagine the types of people who are regular patrons. 

We got the calamaratato con gamberi, mafalde al funghi, rigatoni bologanese, and risotto nervosa.
The server recommended the calamaratato con gamberi since it was a popular dish with some spiciness, but it was quite lackluster. The dish wasn't spicy at all, granted we're quite accustomed to spicy foods. 
The mafalde al funghi was delicious and creamy with a full bodied flavour. 
The rigatoni bologanese was a very typical pasta that tasted like a deconstructed lasagna--which isn't a bad thing. It felt too commonplace and lackluster for this price point though.
The risotto nervosa was probably the star of the show. The risotto is amazing and creamy and the braised beef pairs well with it. Though I will admit that the beef, when eaten on its own, felt a little dry. 

Perhaps it's because I'm more accustomed to Asian food, but this restaurant felt quite underwhelming and overpriced.
Many of the dishes didn't stand out too much and is quite comparable to what you would find at much lower price points or even store bought. Don't get me wrong, the food was good, but perhaps not worthy of a second visit."
